"","coverage","migration","max_gen","plot","cost","eff","n_insecticides","rot_interval","gens_rot","gens_seq","id","rot_minus_seq"
"1",1,0,300,FALSE,0.0329225280554965,0.544827027595602,5,40,186,186,1,0
"2",1,0,300,FALSE,0.0359760578954592,0.911931103677489,5,14,56,56,2,0
"3",1,0,300,FALSE,0.000394239067099988,0.768626646720804,3,38,45,45,3,0
"4",1,0,300,FALSE,0.0556951048551127,0.850001657498069,5,40,73,73,4,0
"5",1,0,300,FALSE,0.0909107826650143,0.531170234084129,4,10,300,300,5,0
"6",1,0,300,FALSE,0.0130624521989375,0.866663301712833,5,31,59,59,6,0
"7",1,0,300,FALSE,0.0249155907426029,0.549840088118799,2,21,50,56,7,-6
"8",1,0,300,FALSE,0.0560183202382177,0.949886953341775,4,42,40,40,8,0
"9",1,0,300,FALSE,0.077861565258354,0.668450954253785,3,18,77,76,9,1
"10",1,0,300,FALSE,0.0151399960741401,0.864644079003483,2,5,10,23,10,-13
"11",1,0,300,FALSE,0.0382482492132112,0.885510933818296,2,22,23,23,11,0
"12",1,0,300,FALSE,0.0580386357614771,0.55066452617757,3,14,116,104,12,12
"13",1,0,300,FALSE,0.0102510937256739,0.541408168850467,4,26,114,117,13,-3
"14",1,0,300,FALSE,0.0979753871681169,0.648871104116552,3,41,91,91,14,0
"15",1,0,300,FALSE,0.0152709110639989,0.662828773842193,4,47,84,84,15,0
"16",1,0,300,FALSE,0.0553543742978945,0.6273409712594,4,49,120,120,16,0
"17",1,0,300,FALSE,0.0363975760061294,0.802975396276452,2,25,29,29,17,0
"18",1,0,300,FALSE,0.0853906193515286,0.991392675321549,4,10,37,37,18,0
"19",1,0,300,FALSE,0.0474246925441548,0.876385780517012,4,8,49,49,19,0
"20",1,0,300,FALSE,0.0270474551711231,0.909073447342962,5,24,55,55,20,0
"21",1,0,300,FALSE,0.0107848262879997,0.811623587389477,4,14,55,55,21,0
"22",1,0,300,FALSE,0.0351439312333241,0.720010890043341,4,38,77,77,22,0
"23",1,0,300,FALSE,0.0453975600190461,0.606384501443245,3,26,80,80,23,0
"24",1,0,300,FALSE,0.0954930694773793,0.764335297630168,4,22,92,92,24,0
"25",1,0,300,FALSE,0.0088248398154974,0.731054298928939,4,25,67,67,25,0
"26",1,0,300,FALSE,0.0988527643494308,0.722632069257088,3,26,68,68,26,0
"27",1,0,300,FALSE,0.0646027595037594,0.868772664107382,3,30,39,39,27,0
"28",1,0,300,FALSE,0.041802834556438,0.969376569497399,3,22,27,27,28,0
"29",1,0,300,FALSE,0.00347773781977594,0.676478937733918,3,40,57,57,29,0
"30",1,0,300,FALSE,0.0198001042939723,0.708690644241869,4,13,75,75,30,0
"31",1,0,300,FALSE,0.0283576819580048,0.800086694653146,3,11,40,44,31,-4
"32",1,0,300,FALSE,0.0278978873975575,0.981366109102964,4,42,35,35,32,0
"33",1,0,300,FALSE,0.0613777564605698,0.770675281877629,5,9,110,104,33,6
"34",1,0,300,FALSE,0.0021154259564355,0.731658505741507,5,19,82,82,34,0
"35",1,0,300,FALSE,0.0837529707700014,0.962468539364636,3,14,30,30,35,0
"36",1,0,300,FALSE,0.0958481218433008,0.554766893386841,3,13,180,145,36,35
"37",1,0,300,FALSE,0.073757595429197,0.578789778985083,4,16,225,193,37,32
"38",1,0,300,FALSE,0.0119092580163851,0.951435531140305,3,19,27,27,38,0
"39",1,0,300,FALSE,0.0941550293937325,0.615999441943131,3,29,102,102,39,0
"40",1,0,300,FALSE,0.0619140910450369,0.549361438606866,2,10,20,62,40,-42
"41",1,0,300,FALSE,0.09093620874919,0.500180547009222,4,45,300,300,41,0
"42",1,0,300,FALSE,0.0703757214127109,0.970286620082334,2,27,18,18,42,0
"43",1,0,300,FALSE,0.0250219533452764,0.933115259977058,3,10,29,29,43,0
"44",1,0,300,FALSE,0.0747651965357363,0.617203325033188,3,35,92,92,44,0
"45",1,0,300,FALSE,0.0584198697237298,0.668709784047678,3,8,74,68,45,6
"46",1,0,300,FALSE,0.0740653034066781,0.584584786905907,3,21,106,104,46,2
"47",1,0,300,FALSE,0.000766369490884245,0.911563682137057,3,14,30,30,47,0
"48",1,0,300,FALSE,0.0205991857685149,0.963905233074911,4,37,36,36,48,0
"49",1,0,300,FALSE,0.0595577000640333,0.519051105715334,5,10,300,300,49,0
"50",1,0,300,FALSE,0.0675226749619469,0.70720408228226,4,7,109,96,50,13
"51",1,0,300,FALSE,0.0106872735079378,0.696026017772965,3,41,56,56,51,0
"52",1,0,300,FALSE,0.0557473439723253,0.973560876795091,2,43,18,18,52,0
"53",1,0,300,FALSE,0.077779206354171,0.884771096054465,3,12,37,37,53,0
"54",1,0,300,FALSE,0.00502217484172434,0.915436294511892,3,39,30,30,54,0
"55",1,0,300,FALSE,0.0437806787667796,0.989481166354381,3,20,25,25,55,0
"56",1,0,300,FALSE,0.022763679525815,0.763972989283502,3,32,47,47,56,0
"57",1,0,300,FALSE,0.0367852783529088,0.621615387266502,5,47,145,145,57,0
"58",1,0,300,FALSE,0.0421494112350047,0.937642705161124,4,17,40,40,58,0
"59",1,0,300,FALSE,0.0611016187118366,0.633508574333973,2,29,48,48,59,0
"60",1,0,300,FALSE,0.075098934606649,0.911150042898953,3,26,33,33,60,0
"61",1,0,300,FALSE,0.0536150596570224,0.713878594571725,2,6,12,38,61,-26
"62",1,0,300,FALSE,0.0872796835843474,0.64204060297925,4,16,181,160,62,21
"63",1,0,300,FALSE,0.089003919926472,0.924510520184413,2,34,20,20,63,0
"64",1,0,300,FALSE,0.0016614654334262,0.508937089005485,4,16,123,122,64,1
"65",1,0,300,FALSE,0.0229023294057697,0.579353851731867,5,48,145,145,65,0
"66",1,0,300,FALSE,0.00395897259004414,0.888816178892739,2,47,22,22,66,0
"67",1,0,300,FALSE,0.0778608919819817,0.858219777932391,4,41,57,57,67,0
"68",1,0,300,FALSE,0.0654399204999209,0.602696239366196,5,20,281,260,68,21
"69",1,0,300,FALSE,0.0180809485726058,0.856323519372381,2,6,12,24,69,-12
"70",1,0,300,FALSE,0.0899032959481701,0.86902832146734,3,22,41,41,70,0
"71",1,0,300,FALSE,0.0431932215346023,0.927170998649672,4,50,42,42,71,0
"72",1,0,300,FALSE,0.0963284624740481,0.931276772753336,2,43,20,20,72,0
"73",1,0,300,FALSE,0.0313503115903586,0.793285802938044,3,6,39,45,73,-6
"74",1,0,300,FALSE,0.0115994221298024,0.596706560696475,3,34,73,73,74,0
"75",1,0,300,FALSE,0.0427179739577696,0.513087812112644,5,35,257,257,75,0
"76",1,0,300,FALSE,0.0330429318128154,0.945296384044923,3,31,29,29,76,0
"77",1,0,300,FALSE,0.0542044149013236,0.75780809589196,4,40,73,73,77,0
"78",1,0,300,FALSE,0.0215419656597078,0.590165510307997,4,44,106,106,78,0
"79",1,0,300,FALSE,0.0202780409017578,0.579142115311697,4,39,109,109,79,0
"80",1,0,300,FALSE,0.0858013876480982,0.950924898730591,4,34,43,43,80,0
"81",1,0,300,FALSE,0.0250032099429518,0.67002279846929,3,19,62,63,81,-1
"82",1,0,300,FALSE,0.0213596764253452,0.82404147554189,5,10,70,70,82,0
"83",1,0,300,FALSE,0.00963289577048272,0.890791810466908,3,5,15,33,83,-18
"84",1,0,300,FALSE,0.00617529232986271,0.689460061257705,3,8,54,56,84,-2
"85",1,0,300,FALSE,0.0869602468330413,0.595343927154317,4,22,248,226,85,22
"86",1,0,300,FALSE,0.0450125427450985,0.534047227934934,5,23,262,244,86,18
"87",1,0,300,FALSE,0.0986945464974269,0.873469693004154,2,48,25,25,87,0
"88",1,0,300,FALSE,0.00793618985917419,0.744140743627213,3,50,48,48,88,0
"89",1,0,300,FALSE,0.0422126919496804,0.898729085340165,2,9,18,22,89,-4
"90",1,0,300,FALSE,0.0619714754167944,0.664558870135807,3,12,77,70,90,7
"91",1,0,300,FALSE,0.0349049478303641,0.763198150089011,2,32,31,31,91,0
"92",1,0,300,FALSE,0.0978179276688024,0.803146160906181,2,17,30,30,92,0
"93",1,0,300,FALSE,0.0390924498904496,0.542798229493201,5,5,256,206,93,50
"94",1,0,300,FALSE,0.0100799115840346,0.812685127020814,5,21,69,69,94,0
"95",1,0,300,FALSE,0.0866745211184025,0.726596909342334,2,35,37,37,95,0
"96",1,0,300,FALSE,0.0333284177584574,0.900799316586927,5,29,56,56,96,0
"97",1,0,300,FALSE,0.0692350728204474,0.543791701667942,4,25,234,226,97,8
"98",1,0,300,FALSE,0.0583049583481625,0.637970212148502,5,27,175,175,98,0
"99",1,0,300,FALSE,0.0403250822331756,0.535741554223932,5,11,259,216,99,43
"100",1,0,300,FALSE,0.0574922583065927,0.654476337367669,4,12,120,109,100,11
